book_dimensions,count
33 x 31 cm,2
sm. 8⁰,2
8 ⁰,2
32 x 26 cm,2
27 x 18 cm,2
1/fol.,2
8 cm,2
b1⁰,2
2⁰cm (8⁰,2
2⁰ cm. (4to,2
2⁰; 1⁰,2
2⁰ (31 cm,2
49 x 29 cm,2
31 cm (4⁰,2
16 cm.,2
4⁰ in 2's,2
2⁰ cm. (8vo and 4to,2
43 x 14 cm,2
4⁰. in 8's,2
8⁰⁰,2
23 x 37 cm,2
38-42 cm,2
43 x 17 cm,2
17 cm. (12mo,2
4to and 8vo,2
32 x 27 cm,2
18 x 23 cm,2
2⁰(6,2
48 cm (2⁰),2
46 x 17 cm,2
48⁰.,2
32 cm (1/2⁰),2
24 cm (4⁰,2
obl.48⁰,2
28 cm (2⁰,2
51 cm. (2⁰,2
11 x 17 cm,2
2⁰ (31-48 cm,2
12⁰ & 8⁰,1
41 x 29 cm,1
28 x 35 cm,1
27cm. (8⁰,1
15 cm. (16 mo,1
obl. 8,1
33-34 cm. (1/2⁰,1
39 x 25 cm. broadside,1
4⁰ in 2s,1
9 x 12 cm,1
5⁰ x 42 cm,1
49 cm. (2⁰),1
34 x 15 cm,1
32 x 33 cm,1
13 x 25 cm,1
54 cm. (2⁰,1
2⁰),1
16 x 24 cm,1
41-68 cm,1
oblsixes [fewer than 5⁰ pages,1
21 cm (12⁰,1
25 cm. (12⁰,1
5⁰ x 31 cm,1
47 x 38 cm,1
obl. 1/18⁰? (6 x 1⁰ cm),1
3⁰ x 35 cm,1
37x22cm,1
25 x 15 cm,1
14 cm. 16⁰,1
45 x 16 cm,1
27 x 44 cm,1
4⁰ 4�6,1
28 x 13 cm,1
12⁰ 84\U+fffd\\U+fffd\+\U+fffd\\U+fffd\\U+fffd\\U+f�< >]ffd\\U+fffd\\U+fffd,1
11 x 23 cm,1
11 cm.,1
51 x 37 cm,1
1743,1
28 cm. (1/2⁰,1
21 x 16 cm. (1/4,1
4to,1
45-72 cm,1
46-63 cm,1
9cm,1
24.3 x 21 cm,1
36-38 cm. (1/2⁰,1
12 cm (12⁰,1
21 cm. (12mo and 8vo,1
17 x 22 cm (4⁰),1
45 x 55 cm,1
8⁰ 1 map,1
58 x 47 cm,1
7 cm,1
12 cm (16⁰,1
21 x 48 cm,1
24 x 1⁰ cm,1
19cm,1
13 x 9 cm,1
16⁰. in 8's,1
4⁰-41 cm,1
23-24 cm (4⁰,1
34 x 1⁰ cm,1
14 x 19 cm,1
46 x 27 cm,1
63 x 5⁰ cm,1
2⁰ cm. (8,1
24cm. (4⁰,1
33 x 54 cm,1
39cm (2⁰,1
15 x 7 cm,1
1776,1
43 cm (2⁰),1
18mo,1
ill,1
52 x 21 cm,1
24cm (4⁰,1
43 x 16 cm,1
54 x 22 cm,1
1/4⁰ (21 x 18 cm),1
34 cm. (fol,1
34 x 21 cm.,1
43-68 cm,1
1/72⁰,1
45-5⁰ cm,1
39 x 22 cm,1
43x29cm,1
35 x 11 cm,1
1/2⁰ (45 x 18 cm),1
1⁰ x 14 cm,1
45 x 14 cm,1
22 cm 8⁰,1
22cm (8⁰),1
21 cm. 9(vo,1
8⁰ (4⁰).,1
18 cm. (8vo; horizontal chain lines,1
23 x 11 cm,1
obl. 1/2,1
41-45 cm,1
25 x 32 cm,1
36 x 22 cm. 1/2⁰,1
46 x 34 cm,1
oblfol [fewer than 5⁰ pages,1
96⁰,1
1⁰ (42 x 34 cm,1
44 x 3⁰ cm,1
4⁰-5⁰ cm,1
8 x 2⁰ cm,1
49 x 32 cm,1
43-47 cm,1
27 x 22 cm. braodside,1
1/2⁰ (37 cm,1
33 x 25 cm. broadside,1
2⁰ (49 cm,1
21x16 cm,1
23 x 41 cm,1
25 x 29 cm,1
44-56 cm,1
32cm (1/2⁰),1
43 x 18+ cm,1
7⁰ x 49 cm,1
1/12,1
39 x 34 cm,1
21 cm.,1
31-44 cm (4⁰; 2⁰,1
1⁰ x 11 cm,1
1/2⁰ (34 x 21 cm),1
x8⁰,1
4⁰ mostly 6's,1
41 x 13 cm,1
2⁰(3.5,1
33 x 12 cm,1
32 x 41 cm,1
4⁰; 34; 42 cm (2⁰; 1/2⁰; 2⁰,1
sm. 4⁰,1
27 x 45 cm,1
c1/2⁰,1
45 x 52 cm,1
48 x 28 cm,1
26 x 11 cm,1
57 x 45 cm,1
5⁰.,1
1⁰?,1
